Dich vu,Nhom,Mo ta,Gia khoang,Ghi chu
Cắt nữ,Cơ bản,Cắt tạo kiểu theo form khuôn mặt,250.000 - 350.000,Giá phụ thuộc độ dày và độ dài tóc
Gội sấy,Cơ bản,Gội thư giãn và sấy hoàn thiện,120.000 - 180.000,Phù hợp khách chỉ cần làm sạch và tạo nếp nhẹ
Cắt kèm gội sấy,Cơ bản,Combo cắt và hoàn thiện kiểu tóc,350.000 - 480.000,Nên upsell dưỡng nhẹ nếu tóc khô
Hấp dưỡng cơ bản,Chăm sóc tóc,Dưỡng ẩm và làm mềm tóc,250.000 - 450.000,Phù hợp tóc khô nhẹ
Phục hồi chuyên sâu,Chăm sóc tóc,Phục hồi tóc yếu hoặc hư tổn do hóa chất,600.000 - 1.200.000,Giá tùy tình trạng tóc
Chăm sóc da đầu,Chăm sóc tóc,Làm sạch và thư giãn da đầu,350.000 - 700.000,Phù hợp khách rụng tóc hoặc da đầu dầu
Nhuộm phủ bạc,Nhuộm,Màu cơ bản hoặc phủ bạc,700.000 - 1.200.000,Giá tùy độ dài tóc
Nhuộm màu thời trang,Nhuộm,Nhuộm tone thời trang nền tối chưa tẩy,900.000 - 1.800.000,Cần xem nền tóc cũ trước khi chốt
Phủ bóng,Nhuộm,Làm bóng màu và tăng độ mượt,500.000 - 900.000,Thường upsell sau nhuộm
Uốn setting,Uốn duỗi,Uốn lơi hoặc uốn sóng nhẹ,1.200.000 - 2.500.000,Giá tùy độ dài và chất tóc
Duỗi tự nhiên,Uốn duỗi,Làm thẳng tự nhiên,1.000.000 - 2.200.000,Giá tùy độ dày và nền tóc cũ
Tẩy nâng nền,Nhuộm,Nâng nền cho các màu sáng,800.000+ mỗi lần,Số lần tẩy phụ thuộc nền tóc và màu mục tiêu
